David Savitt,Chris Morse,{'puzzle_name': 'Everything Is Something', 'hunt_name': 'MIT Mystery Hunt 2000'}
David Savitt,Kiran Kedlaya,{'puzzle_name': 'Paint Store', 'hunt_name': 'MIT Mystery Hunt 2005'}
David Savitt,Ann Jones,{'puzzle_name': 'On Tour', 'hunt_name': 'MIT Mystery Hunt 2002'}
David Savitt,Derek Kisman,{'puzzle_name': 'Bars of Soap', 'hunt_name': 'MIT Mystery Hunt 2005'}
David Savitt,Brian Litofsky,{'puzzle_name': 'Hall of Mirrors', 'hunt_name': 'MIT Mystery Hunt 2005'}
David Savitt,Tim Peeters,{'puzzle_name': 'Express Yourself', 'hunt_name': 'MIT Mystery Hunt 2005'}
Chris Morse,Roger Barkan,{'puzzle_name': 'Passive Muzzle', 'hunt_name': 'MIT Mystery Hunt 2002'}
Chris Morse,Dan Katz,{'puzzle_name': 'Turn on a Dime', 'hunt_name': 'MIT Mystery Hunt 2019'}
Chris Morse,Ray Jones,{'puzzle_name': 'From A to B', 'hunt_name': 'MIT Mystery Hunt 2005'}
Chris Morse,Ann Jones,{'puzzle_name': 'Odd Man Out', 'hunt_name': 'MIT Mystery Hunt 2005'}
Chris Morse,Jaci Conrad,{'puzzle_name': 'The Obligatory Scavenger Hunt', 'hunt_name': 'MIT Mystery Hunt 2002'}
Chris Morse,Brian Tivol,{'puzzle_name': 'Yellow Star Meta', 'hunt_name': 'MIT Mystery Hunt 2005'}
Chris Morse,Kiran Kedlaya,{'puzzle_name': 'Yellow Star Meta', 'hunt_name': 'MIT Mystery Hunt 2005'}
Chris Morse,Albert Lin,{'puzzle_name': 'University Park', 'hunt_name': 'MIT Mystery Hunt 2002'}
Chris Morse,Greg Pliska,{'puzzle_name': 'Turn on a Dime', 'hunt_name': 'MIT Mystery Hunt 2019'}
Chris Morse,Tanis O'Connor,{'puzzle_name': 'Subservient Chicken vs. Tim the Beaver', 'hunt_name': 'MIT Mystery Hunt 2017'}
Chris Morse,Eleanor Pritchard,{'puzzle_name': 'Cocktail Party', 'hunt_name': 'MIT Mystery Hunt 2005'}
Chris Morse,Todd Radford,{'puzzle_name': 'Subservient Chicken vs. Tim the Beaver', 'hunt_name': 'MIT Mystery Hunt 2017'}
Chris Morse,Daniel Vlasic,{'puzzle_name': 'From A to B', 'hunt_name': 'MIT Mystery Hunt 2005'}
Chris Morse,Tom Buehler,{'puzzle_name': 'Subservient Chicken vs. Tim the Beaver', 'hunt_name': 'MIT Mystery Hunt 2017'}
Chris Morse,Jennifer Braun,{'puzzle_name': 'Subservient Chicken vs. Tim the Beaver', 'hunt_name': 'MIT Mystery Hunt 2017'}
Chris Morse,Trip Payne,{'puzzle_name': 'Subservient Chicken vs. Tim the Beaver', 'hunt_name': 'MIT Mystery Hunt 2017'}
Chris Morse,Alex Rosenthal,{'puzzle_name': 'Subservient Chicken vs. Tim the Beaver', 'hunt_name': 'MIT Mystery Hunt 2017'}
Chris Morse,Scott Purdy,{'puzzle_name': 'Subservient Chicken vs. Tim the Beaver', 'hunt_name': 'MIT Mystery Hunt 2017'}
Chris Morse,Jackie Anderson,{'puzzle_name': 'Subservient Chicken vs. Tim the Beaver', 'hunt_name': 'MIT Mystery Hunt 2017'}
Chris Morse,Matt Gruskin,{'puzzle_name': 'Clued Connections', 'hunt_name': 'MIT Mystery Hunt 2019'}
Chris Morse,Victoria Coren Mitchell,{'puzzle_name': 'Clued Connections', 'hunt_name': 'MIT Mystery Hunt 2019'}
Brian Litofsky,Rose Koch,{'puzzle_name': 'The Direct Approach', 'hunt_name': 'MIT Mystery Hunt 2000'}
Brian Litofsky,Ann Jones,{'puzzle_name': 'The Direct Approach', 'hunt_name': 'MIT Mystery Hunt 2000'}
Brian Litofsky,Ray Jones,{'puzzle_name': 'The Direct Approach', 'hunt_name': 'MIT Mystery Hunt 2000'}
Brian Litofsky,Derek Kisman,{'puzzle_name': 'Hall of Mirrors', 'hunt_name': 'MIT Mystery Hunt 2005'}
Rose Koch,Ann Jones,{'puzzle_name': 'The Direct Approach', 'hunt_name': 'MIT Mystery Hunt 2000'}
Rose Koch,Ray Jones,{'puzzle_name': 'The Direct Approach', 'hunt_name': 'MIT Mystery Hunt 2000'}
Ann Jones,Ray Jones,{'puzzle_name': 'Vial Odors', 'hunt_name': 'MIT Mystery Hunt 2002'}
Ann Jones,Jaci Conrad,{'puzzle_name': 'The Obligatory Scavenger Hunt', 'hunt_name': 'MIT Mystery Hunt 2002'}
Ray Jones,Brian Tivol,{'puzzle_name': 'Grape Clusterbomb', 'hunt_name': 'MIT Mystery Hunt 2002'}
Ray Jones,Albert Lin,{'puzzle_name': 'Use of Gothicism Considered Harmful', 'hunt_name': 'MIT Mystery Hunt 2002'}
Ray Jones,Kiran Kedlaya,{'puzzle_name': 'Square Mess', 'hunt_name': 'MIT Mystery Hunt 2005'}
Ray Jones,Dan Katz,{'puzzle_name': 'Tune in, Rock Out', 'hunt_name': 'MIT Mystery Hunt 2005'}
Ray Jones,Dave Tuller,{'puzzle_name': 'Government Cuts', 'hunt_name': 'MIT Mystery Hunt 2005'}
Ray Jones,Daniel Vlasic,{'puzzle_name': 'From A to B', 'hunt_name': 'MIT Mystery Hunt 2005'}
Ray Jones,Tom Buehler,{'puzzle_name': 'From A to B', 'hunt_name': 'MIT Mystery Hunt 2005'}
Ray Jones,Greg Pliska,{'puzzle_name': 'Keeping Abreast of the Issues', 'hunt_name': 'MIT Mystery Hunt 2005'}
Ray Jones,Tom Pliska,{'puzzle_name': 'Keeping Abreast of the Issues', 'hunt_name': 'MIT Mystery Hunt 2005'}
Ray Jones,Jed Goldstone,{'puzzle_name': 'Shotgun Wedding', 'hunt_name': 'MIT Mystery Hunt 2005'}
Ray Jones,Sarah Bagby,{'puzzle_name': 'Shotgun Wedding', 'hunt_name': 'MIT Mystery Hunt 2005'}
Roger Barkan,Dan Katz,{'puzzle_name': 'The Crafty Criminal', 'hunt_name': 'MIT Mystery Hunt 2017'}
Roger Barkan,Brian Tivol,{'puzzle_name': 'Cookie Monster', 'hunt_name': 'MIT Mystery Hunt 2005'}
Roger Barkan,Greg Pliska,{'puzzle_name': 'Out of the Mouths of Babes', 'hunt_name': 'MIT Mystery Hunt 2017'}
Roger Barkan,Angela Lavoie,{'puzzle_name': 'Endless Love', 'hunt_name': 'MIT Mystery Hunt 2005'}
Roger Barkan,Marcy Levey,{'puzzle_name': 'Cookie Monster', 'hunt_name': 'MIT Mystery Hunt 2005'}
Roger Barkan,Roger Ford,{'puzzle_name': 'The Economist meta', 'hunt_name': 'MIT Mystery Hunt 2017'}
