Dave Tuller,Michael Rios,{'puzzle_name': 'One of a Kind', 'hunt_name': 'MIT Mystery Hunt 2002'}
Marc Moskowitz,Denis Moskowitz,{'puzzle_name': 'Round 2 Meta', 'hunt_name': 'MIT Mystery Hunt 2003'}
Bridget Copley,Lance Nathan,{'puzzle_name': 'Dictionary', 'hunt_name': 'MIT Mystery Hunt 2003'}
Erin Rhode,Jenn Miller,{'puzzle_name': 'Temple of Macuilxochitl', 'hunt_name': 'MIT Mystery Hunt 2004'}
Erin Rhode,Martine Lamy,{'puzzle_name': 'Temple of Macuilxochitl', 'hunt_name': 'MIT Mystery Hunt 2004'}
Erin Rhode,Anand Sarwate,{'puzzle_name': 'Thank Heaven for Little Girls', 'hunt_name': 'MIT Mystery Hunt 2014'}
Erin Rhode,Brandy Buckingham,{'puzzle_name': 'Magic Mushrooms', 'hunt_name': 'MIT Mystery Hunt 2014'}
Erin Rhode,Jason Juang,{'puzzle_name': 'Magic Mushrooms', 'hunt_name': 'MIT Mystery Hunt 2014'}
Erin Rhode,Dan Katz,{'puzzle_name': 'Magic Mushrooms', 'hunt_name': 'MIT Mystery Hunt 2014'}
Jenn Miller,Martine Lamy,{'puzzle_name': 'Temple of Macuilxochitl', 'hunt_name': 'MIT Mystery Hunt 2004'}
Usman Akeju,Albert Lin,{'puzzle_name': 'Mullions (Meta)', 'hunt_name': 'MIT Mystery Hunt 2004'}
Dan Katz,Greg Pliska,{'puzzle_name': 'Concerto delle Oche Volanti', 'hunt_name': 'MIT Mystery Hunt 2005'}
Dan Katz,Mike Selinker,{'puzzle_name': 'Round 1 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Jennifer Braun,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Thomas Snyder,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Tony Delgado,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Francis Heaney,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Michael King,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Zack Butler,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Nikki Akraboff,{'puzzle_name': 'Sorry, Wrong Number', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Lorinne Lampert,{'puzzle_name': 'Sorry, Wrong Number', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Stephen Peters,{'puzzle_name': 'Sorry, Wrong Number', 'hunt_name': 'MIT Mystery Hunt 2009'}
